Species	Donor	CL	No.gain	dMRCA	No.SNP	No.crispr	freq	lower	higher	total_spacer	total_gain	gain_rate	gain_ratio
PaDi	H10	PaDi H10	0	2.25	3.0000300003	2	23	20	23	23	0	0	0
PaMe	af	PaMe af	0	7.125	8.12506093795703	0.545454545454545	63	59	63	63	0	0	0
PaDi	bq	PaDi bq	0	20.818	27.9994400111998	1	23	20	23	23	0	0	0
PaDi	D442	PaDi D442	0	4.25	6.99986000279994	1	20	17	20	20	0	0	0
BA	D544	BA D544_lineage3	0	17	36.9995806714191	0.91304347826087	22	19	22	22	0	0	0
BA	H20	BA H20_lineage3	0	15.111	19.5790504160548	0.586206896551724	58	54	58	58	0	0	0
PaDi	D110	PaDi D110	0	5	4	1	6	3	6	6	0	0	0
PaDi	H39	PaDi H39	0	2.111	4	1.34782608695652	37	28	46	74	0	0	0
BA	H12	BA H12	0	8.611	11.4995400183993	1.17391304347826	29	26	29	29	0	0	0
PaDi	D05	PaDi D05	0	5	8	1.09090909090909	13	10	13	13	0	0	0
BA	H29	BA H29	0	69.545	76.0006755615606	1.06666666666667	81	77	81	81	0	0	0
PaDi	H13	PaDi H13	0	12.385	12.5996724085174	0.717391304347826	4	2	4	4	0	0	0
BL	H02	BL H02_lineage3	0	5.889	9	0.518518518518518	43	39	43	43	0	0	0
PaDi	H40	PaDi H40_lineage4	0	3	3.42857142857143	1.23076923076923	63	59	63	63	0	0	0
BlWe	aa	BlWe aa	0	35.111	63.0006300063001	1	28	25	28	28	0	0	0
PaDi	H32	PaDi H32	0	4.667	4.4999775001125	0.928571428571429	20	17	20	20	0	0	0
BaFr	am	BaFr am	0	22.098	41.0004100041	0.911764705882353	13	10	13	13	0	0	0
