Donor	Species	CL	No.gain	dMRCA	freq	CL donor	No.genome	dmrca	dmrca_stdev	No.SNP	No.crispr	MG_median_depth	MG_name	species	fullname	SP gain	SP gain rate (SP gain/No. SNPs/No.crispr)
D25	PaDi	PaDi 31	0	2.467	42	PaDi 31D25	15.0	2.467	0.99	16.0	0.6666666666666666			PaDi	Parabacteroides_distasonis	0	0.0
D25	PaDi	PaDi 8	1	15.125	7	PaDi 8D25	24.0	15.125	2.112	44.0	1.0833333333333333			PaDi	Parabacteroides_distasonis	7	0.14685314685314685
D28	BL	BL 1	1	2.583	15	BL 1D28	12.0	2.583	1.084	14.0	0.5833333333333334			BL	Bifidobacterium_longum	15	1.8367346938775508
D30	BL	BL 1	1	20.7	46	BL 1D30	20.0	20.7	1.75	54.0	0.3809523809523809			BL	Bifidobacterium_longum	46	2.2361111111111107
D442	PaDi	PaDi 13	0	4.083	20	PaDi 13D442	12.0	4.083	0.996	12.0	1.0			PaDi	Parabacteroides_distasonis	0	0.0
D442	BA	BA 80	0	8.333	59	BA 80D442	3.0	8.333	2.517	22.0	1.0			BA	Bifidobacterium_adolescentis	0	0.0
D442	BA	BA 67	0	7.5	59	BA 67D442	6.0	7.5	1.871	26.0	1.0			BA	Bifidobacterium_adolescentis	0	0.0
D448	BA	BA 47	1	9.286	22	BA 47D448	14.0	9.286	1.773	24.0	1.0714285714285714			BA	Bifidobacterium_adolescentis	22	0.8555555555555555
D466	BA	BA 60	1	24.913	11	BA 60D466	23.0	24.913	2.712	126.0	1.0			BA	Bifidobacterium_adolescentis	11	0.0873015873015873
D469	BA	BA 52	0	13.364	20	BA 52D469	22.0	13.364	4.018	144.0	1.0454545454545454			BA	Bifidobacterium_adolescentis	0	0.0
D485	BA	BA 69	0	4.667	10	BA 69D485	3.0	4.667	2.309	11.0	0.6666666666666666			BA	Bifidobacterium_adolescentis	0	0.0
D485	PaDi	PaDi 13	1	2.3040000000000003	2	PaDi 13D485	23.0	2.3040000000000003	0.8220000000000001	22.0	1.1304347826086956			PaDi	Parabacteroides_distasonis	2	0.08041958041958043
D485	BL	BL 19	1	1.737	3	BL 19D485	19.0	1.737	0.733	8.0	1.0			BL	Bifidobacterium_longum	3	0.375
D503	PaDi	PaDi 29	1	17.083	2	PaDi 29D503	24.0	17.083	5.207999999999998	60.0	1.0			PaDi	Parabacteroides_distasonis	2	0.03333333333333333
D503	BL	BL 38	1	1.5	5	BL 38D503	6.0	1.5	1.517	8.0	1.3333333333333333			BL	Bifidobacterium_longum	5	0.46875
D544	BA	BA 26	1	6.0	19	BA 26D544	18.0	5.556	1.947	67.0	0.9130434782608696			BA	Bifidobacterium_adolescentis	19	0.31058990760483296
D544	BA	BA 26	1	6.0	19	BA 26D544	5.0	6.0	2.0	16.0	0.9130434782608696			BA	Bifidobacterium_adolescentis	19	1.300595238095238
D549	PaDi	PaDi 31	0	3.0	51	PaDi 31D549	4.0	3.0	1.826	10.0	1.0			PaDi	Parabacteroides_distasonis	0	0.0
D549	PaDi	PaDi 29	0	2.0	51	PaDi 29D549	3.0	2.0	1.0	4.0	1.0			PaDi	Parabacteroides_distasonis	0	0.0
D549	BA	BA 12	0	0.5	13	BA 12D549	4.0	0.5	0.5770000000000001	2.0	1.0			BA	Bifidobacterium_adolescentis	0	0.0
D549	BL	BL 31	1	29.462	44	BL 31D549	26.0	29.462	9.356	56.0	1.4230769230769231			BL	Bifidobacterium_longum	44	0.5521235521235521
D56	PaDi	PaDi 36	0	0.25	16	PaDi 36D56	4.0	0.25	0.5	1.0	1.0			PaDi	Parabacteroides_distasonis	0	0.0
D56	BL	BL 11	1	25.2	42	BL 11D56	30.0	25.2	2.369	125.0	3.2			BL	Bifidobacterium_longum	42	0.105
D571	PaDi	PaDi 8	0	0.6	25	PaDi 8D571	5.0	0.6	0.894	3.0	2.0			PaDi	Parabacteroides_distasonis	0	0.0
D571	BA	BA 73	0	1.75	42	BA 73D571	4.0	1.75	0.957	5.0	1.0			BA	Bifidobacterium_adolescentis	0	0.0
D571	BL	BL 19	1	2.222	6	BL 19D571	27.0	2.222	0.974	15.0	1.2962962962962965			BL	Bifidobacterium_longum	6	0.3085714285714286
D574	BA	BA 4	0	11.5	29	BA 4D574	26.0	11.5	2.249	107.0	1.0			BA	Bifidobacterium_adolescentis	0	0.0
D82	BL	BL 27	0	26.167	50	BL 27D82	18.0	26.167	5.193	99.0	2.7777777777777777			BL	Bifidobacterium_longum	0	0.0
D84	BA	BA 19	0	13.6	35	BA 19D84	15.0	13.6	3.269	91.0	1.1333333333333333			BA	Bifidobacterium_adolescentis	0	0.0
H02	BA	BA 27	0	8.333	74	BA 27H02	6.0	8.333	1.211	11.0	1.0			BA	Bifidobacterium_adolescentis	0	0.0
H02	BA	BA 12	0	4.75	74	BA 12H02	4.0	4.75	1.7080000000000002	14.0	1.25			BA	Bifidobacterium_adolescentis	0	0.0
H02	PaDi	PaDi 15	1	5.778	3	PaDi 15H02	9.0	5.778	1.481	13.0	1.0			PaDi	Parabacteroides_distasonis	3	0.2307692307692308
H02	BL	BL 14	1	28.038	31	BL 14H02	26.0	28.038	11.087	36.0	0.5185185185185185			BL	Bifidobacterium_longum	31	1.6607142857142858
H03	PaDi	PaDi 2	0	2.842	76	PaDi 2H03	19.0	2.842	1.463	28.0	1.0526315789473684			PaDi	Parabacteroides_distasonis	0	0.0
H05	PaDi	PaDi 19	1	12.227	4	PaDi 19H05	22.0	12.227	1.998	54.0	0.7727272727272727			PaDi	Parabacteroides_distasonis	4	0.09586056644880174
H06	BL	BL 7	0	1.5419999999999998	7	BL 7H06	24.0	1.5419999999999998	1.103	15.0	0.9			BL	Bifidobacterium_longum	0	0.0
H06	PaDi	PaDi 17	1	11.8	2	PaDi 17H06	35.0	11.8	15.088	37.0	2.8571428571428568			PaDi	Parabacteroides_distasonis	2	0.01891891891891892
H08	PaDi	PaDi 27	1	45.083	4	PaDi 27H08	24.0	45.083	2.888	75.0	0.25			PaDi	Parabacteroides_distasonis	4	0.21333333333333332
H09	BL	BL 21	1	27.207	57	BL 21H09	29.0	27.207	5.171	72.0	0.8275862068965517			BL	Bifidobacterium_longum	57	0.9565972222222222
H10	PaDi	PaDi 30	0	2.833	23	PaDi 30H10	6.0	2.833	2.787	8.0	2.0			PaDi	Parabacteroides_distasonis	0	0.0
H11	BL	BL 25	0	3.133	41	BL 25H11	15.0	3.133	0.64	15.0	0.4642857142857143			BL	Bifidobacterium_longum	0	0.0
H11	BL	BL 25	0	3.133	41	BL 25H11	13.0	1.385	0.65	7.0	0.4642857142857143			BL	Bifidobacterium_longum	0	0.0
H11	BA	BA 70	1	7.5710000000000015	4	BA 70H11	7.0	7.5710000000000015	0.976	24.0	1.2857142857142858			BA	Bifidobacterium_adolescentis	4	0.12962962962962962
H12	BA	BA 43	0	2.565	29	BA 43H12	23.0	2.565	0.945	31.0	1.173913043478261			BA	Bifidobacterium_adolescentis	0	0.0
H13	PaDi	PaDi 18	0	12.343	4	PaDi 18H13	35.0	12.343	4.2	63.0	0.9428571428571428			PaDi	Parabacteroides_distasonis	0	0.0
H14	PaDi	PaDi 37	0	5.1110000000000015	22	PaDi 37H14	9.0	5.1110000000000015	1.764	19.0	1.0			PaDi	Parabacteroides_distasonis	0	0.0
H15	PaDi	PaDi 16	0	15.8	5	PaDi 16H15	30.0	15.8	1.186	25.0	0.1			PaDi	Parabacteroides_distasonis	0	0.0
H16	BA	BA 38	0	4.8210000000000015	41	BA 38H16	39.0	4.8210000000000015	1.571	71.0	0.38461538461538464			BA	Bifidobacterium_adolescentis	0	0.0
H16	BL	BL 29	1	2.9	11	BL 29H16	10.0	2.9	0.994	9.0	1.9			BL	Bifidobacterium_longum	11	0.6432748538011697
H17	BA	BA 12	0	1.4	42	BA 12H17	5.0	1.4	2.608	7.0	0.16666666666666666			BA	Bifidobacterium_adolescentis	0	0.0
H17	BA	BA 75	1	26.633000000000006	9	BA 75H17	30.0	26.633000000000006	5.136	134.0	0.6333333333333333			BA	Bifidobacterium_adolescentis	9	0.10604870384917517
H20	BA	BA 29	1	4.267	6	BA 29H20	14.0	2.286	1.204	33.0	0.5862068965517241			BA	Bifidobacterium_adolescentis	6	0.31016042780748665
H20	BA	BA 29	1	4.267	6	BA 29H20	15.0	4.267	1.981	18.0	0.5862068965517241			BA	Bifidobacterium_adolescentis	6	0.5686274509803921
H22	PaDi	PaDi 22	1	8.261000000000001	12	PaDi 22H22	23.0	8.261000000000001	2.667	46.0	0.17391304347826084			PaDi	Parabacteroides_distasonis	12	1.5
H25	BA	BA 77	0	4.2860000000000005	37	BA 77H25	7.0	4.2860000000000005	1.976	19.0	1.0			BA	Bifidobacterium_adolescentis	0	0.0
H26	BA	BA 44	1	77.308	11	BA 44H26	26.0	77.308	22.417	116.0	0.2647058823529412			BA	Bifidobacterium_adolescentis	11	0.3582375478927203
H26	BA	BA 58	1	15.0	47	BA 58H26	5.0	15.0	3.391	21.0	0.8			BA	Bifidobacterium_adolescentis	47	2.7976190476190474
H26	BA	BA 44	1	77.308	11	BA 44H26	8.0	0.0	0.0		0.2647058823529412			BA	Bifidobacterium_adolescentis	11	
H26	BL	BL 33	0	34.667	11	BL 33H26	3.0	0.0	5.1320000000000014		1.6666666666666667			BL	Bifidobacterium_longum	0	
H28	BA	BA 58	1	4.85	10	BA 58H28	20.0	4.85	2.1590000000000003	81.0	1.95			BA	Bifidobacterium_adolescentis	10	0.06331117442228554
H28	BA	BA 72	1	19.2	6	BA 72H28	5.0	19.2	2.864	32.0	1.0			BA	Bifidobacterium_adolescentis	6	0.1875
H29	BA	BA 36	1	20.933000000000003	42	BA 36H29	30.0	20.933000000000003	4.143	158.0	1.0666666666666669			BA	Bifidobacterium_adolescentis	42	0.24920886075949364
H30	BA	BA 45	0	10.652	42	BA 45H30	23.0	10.652	5.936	32.0	0.6521739130434783			BA	Bifidobacterium_adolescentis	0	0.0
H30	PaDi	PaDi 35	1	5.8889999999999985	2	PaDi 35H30	9.0	5.8889999999999985	1.453	19.0	1.0			PaDi	Parabacteroides_distasonis	2	0.10526315789473684
H32	PaDi	PaDi 13	0	6.5379999999999985	20	PaDi 13H32	13.0	6.5379999999999985	2.106	23.0	1.0			PaDi	Parabacteroides_distasonis	0	0.0
H34	BA	BA 62	0	25.143	65	BA 62H34	7.0	25.143	3.388	111.0	1.0			BA	Bifidobacterium_adolescentis	0	0.0
H34	BA	BA 3	0	9.0	65	BA 3H34	18.0	9.0	5.77	93.0	1.0			BA	Bifidobacterium_adolescentis	0	0.0
H35	BL	BL 4	1	3.16	14	BL 4H35	25.0	3.16	2.593	24.0	3.0740740740740735			BL	Bifidobacterium_longum	14	0.18975903614457834
H37	BL	BL 2	0	7.0	16	BL 2H37	3.0	7.0	1.732	17.0	1.3333333333333333			BL	Bifidobacterium_longum	0	0.0
H37	PaDi	PaDi 27	1	22.214	4	PaDi 27H37	28.0	22.214	2.833	76.0	0.5357142857142857			PaDi	Parabacteroides_distasonis	4	0.09824561403508772
H37	BA	BA 16	1	5.556	32	BA 16H37	27.0	5.556	1.695	75.0	0.4814814814814815			BA	Bifidobacterium_adolescentis	32	0.8861538461538463
H39	PaDi	PaDi 14	0	9.231	37	PaDi 14H39	13.0	9.231	1.589	14.0	1.0			PaDi	Parabacteroides_distasonis	0	0.0
H39	PaDi	PaDi 1	0	12.667	37	PaDi 1H39	9.0	12.667	2.121	20.0	2.0			PaDi	Parabacteroides_distasonis	0	0.0
H39	BA	BA 48	1	13.75	13	BA 48H39	20.0	13.75	2.359	85.0	1.1			BA	Bifidobacterium_adolescentis	13	0.1390374331550802
H39	BA	BA 46	1	1.0	28	BA 46H39	9.0	1.0	0.866	9.0	1.0			BA	Bifidobacterium_adolescentis	28	3.111111111111111
H40	BL	BL 8	0	0.607	19	BL 8H40	28.0	0.607	0.7859999999999999	7.0	1.0			BL	Bifidobacterium_longum	0	0.0
H40	PaDi	PaDi 35	1	9.5	2	PaDi 35H40	12.0	9.5	0.674	9.0	1.181818181818182			PaDi	Parabacteroides_distasonis	2	0.188034188034188
H41	BL	BL 15	1	9.656	22	BL 15H41	32.0	9.656	1.208	27.0	1.2647058823529411			BL	Bifidobacterium_longum	22	0.6442721791559001
H42	PaDi	PaDi 1	0	1.367	23	PaDi 1H42	30.0	1.367	1.3259999999999998	20.0	2.0			PaDi	Parabacteroides_distasonis	0	0.0
HX	PaDi	PaDi 4	1	14.586	1	PaDi 4HX	29.0	14.586	2.7710000000000004	44.0	1.9655172413793105			PaDi	Parabacteroides_distasonis	1	0.011562998405103669
aa	PaDi	PaDi 13	0	14.571	30	PaDi 13aa	7.0	14.571	2.992	23.0	0.75	18.0	aa0154	PaDi	Parabacteroides_distasonis	0	0.0
aa	FaSp	FaSp 1	0	5.25	8	FaSp 1aa	4.0	5.25	6.0760000000000005	11.0	1.0			FaSp	Faecalibacterium_sp.	0	0.0
aa	EuRa	EuRa 1	0	10.667	7	EuRa 1aa	3.0	10.667	9.238	16.0	1.3333333333333333			EuRa	Eubacterium_ramulus	0	0.0
aa	DoLo	DoLo 1	0	3.0	9	DoLo 1aa	3.0	3.0	2.0	9.0	1.0			DoLo	Dorea_longicatena	0	0.0
aa	BiPs	BiPs 2	0	10.9	32	BiPs 2aa	10.0	10.9	2.846	50.0	1.8	1.0	aa0154	BiPs	Bifidobacterium_pseudocatenulatum	0	0.0
aa	BaVu	BaVu 6	0	19.25	20	BaVu 6aa	8.0	19.25	2.252	55.0	1.0	94.0	aa0154	BaVu	Bacteroides_vulgatus	0	0.0
aa	BaFr	BaFr 4	0	0.6	11	BaFr 4aa	5.0	0.6	0.5479999999999999	1.0	1.0	2.0	aa0154	BaFr	Bacteroides_fragilis	0	0.0
aa	BaFa	BaFa 2	0	3.667	40	BaFa 2aa	3.0	3.667	1.155	8.0	1.0			BaFa	Bacteroides_faecis	0	0.0
aa	BlWe	BlWe 2	1	13.889	1	BlWe 2aa	9.0	13.889	5.51	33.0	1.0	7.0	aa0154	BlWe	Blautia_wexlerae	1	0.030303030303030307
aa	AkSp	AkSp 1	1	0.03	18	AkSp 1aa	67.0	0.03	0.171	1.0	2.0	17.0	aa0154	AkSp	Akkermansia_sp.	18	9.0
af	PaMe	PaMe 3	0	3.667	63	PaMe 3af	3.0	3.667	1.528	10.0	2.0	23.0	af0060	PaMe	Parabacteroides_merdae	0	0.0
af	BaFr	BaFr 1	0	1.091	26	BaFr 1af	22.0	1.091	1.192	16.0	1.0	1.0	af0060	BaFr	Bacteroides_fragilis	0	0.0
af	BL	BL 1	1	18.03	6	BL 1af	66.0	18.03	4.271	253.0	0.7727272727272727	4.0	af0060	BL	Bifidobacterium_longum	6	0.030690537084398974
af	BaUn	BaUn 6	1	0.5	1	BaUn 6af	4.0	0.5	0.5770000000000001	1.0	1.25			BaUn	Bacteroides_uniformis	1	0.8
am	RuLa	RuLa 2	0	3.5	22	RuLa 2am	10.0	3.5	1.581	18.0	0.9	2.0	am0217	RuLa	Ruthenibacterium_lactatiformans	0	0.0
am	PaMe	PaMe 4	0	28.455	62	PaMe 4am	11.0	28.455	5.646	64.0	2.363636363636364	8.0	am0217	PaMe	Parabacteroides_merdae	0	0.0
am	PaEx	PaEx 1	0	54.462	31	PaEx 1am	13.0	54.462	8.695	145.0	2.8461538461538463	3.0	am0217	PaEx	Parasutterella_excrementihominis	0	0.0
am	HoMa	HoMa 1	0	10.8	66	HoMa 1am	5.0	10.8	8.585	21.0	4.0			HoMa	Holdemania_massiliensis	0	0.0
am	FlPl	FlPl 1	0	2.0	29	FlPl 1am	3.0	2.0	1.732	4.0	1.0			FlPl	Flavonifractor_plautii	0	0.0
am	FaCy	FaCy 1	0	8.286	20	FaCy 1am	7.0	8.286	6.13	24.0	2.0			FaCy	Faecalitalea_cylindroides	0	0.0
am	EsCo	EsCo 4	0	0.235	107	EsCo 4am	51.0	0.235	0.428	6.0	2.0			EsCo	Escherichia_coli	0	0.0
am	EsCo	EsCo 3	0	7.1370000000000005	107	EsCo 3am	139.0	7.1370000000000005	1.252	47.0	0.9352517985611509			EsCo	Escherichia_coli	0	0.0
am	BaVu	BaVu 1	0	10.636	30	BaVu 1am	77.0	10.636	2.0580000000000003	110.0	0.025974025974025976	65.0	am0217	BaVu	Bacteroides_vulgatus	0	0.0
am	BaFr	BaFr 3	0	10.687	13	BaFr 3am	67.0	10.687	2.883	25.0	0.9104477611940298	5.0	am0217	BaFr	Bacteroides_fragilis	0	0.0
am	AkMu	AkMu 1	0	0.022	66	AkMu 1am	45.0	0.022	0.149	1.0	1.0	1.0	am0217	AkMu	Akkermansia_muciniphila	0	0.0
am	BiPs	BiPs 1	1	21.231	3	BiPs 1am	117.0	21.231	2.408	271.0	0.9914529914529916	1.0	am0217	BiPs	Bifidobacterium_pseudocatenulatum	3	0.011165542689909656
am	BaSa	BaSa 1	1	7.8210000000000015	1	BaSa 1am	28.0	7.8210000000000015	2.229	33.0	0.8214285714285714	1.0	am0217	BaSa	Bacteroides_salyersiae	1	0.03689064558629776
am	BaVu	BaVu 5	1	13.833	6	BaVu 5am	6.0	13.833	3.869	25.0	1.0	70.0	am0217	BaVu	Bacteroides_vulgatus	6	0.24
am	EsCo	EsCo 10	1	0.107	7	EsCo 10am	28.0	0.107	0.315	2.0	2.0	1.0	am0217	EsCo	Escherichia_coli	7	1.75
am	RuLa	RuLa 1	1	2.6	5	RuLa 1am	5.0	2.6	0.894	6.0	0.4	2.0	am0217	RuLa	Ruthenibacterium_lactatiformans	5	2.083333333333333
am	EnDu	EnDu 1	1	2.013	5	EnDu 1am	75.0	2.013	0.307	3.0	0.21333333333333332			EnDu	Enterococcus_durans	5	7.8125
bq	PaDi	PaDi 31	0	20.727	23	PaDi 31bq	11.0	20.727	4.052	43.0	1.0	23.0	bq0068	PaDi	Parabacteroides_distasonis	0	0.0
bq	OdSp	OdSp 1	0	13.375	33	OdSp 1bq	8.0	13.375	13.32	20.0	0.875			OdSp	Odoribacter_splanchnicus	0	0.0
bq	BiPs	BiPs 3	0	7.1720000000000015	49	BiPs 3bq	29.0	7.1720000000000015	1.891	51.0	1.0			BiPs	Bifidobacterium_pseudocatenulatum	0	0.0
bq	BaSa	BaSa 1	0	4.0	29	BaSa 1bq	3.0	4.0	1.732	7.0	1.0	9.0	bq0068	BaSa	Bacteroides_salyersiae	0	0.0
bq	BaTh	BaTh 2	1	8.6	29	BaTh 2bq	5.0	8.6	1.14	14.0	1.0	7.0	bq0068	BaTh	Bacteroides_thetaiotaomicron	29	2.071428571428572
cx	FaPr	FaPr 2	0	2.286	4	FaPr 2cx	7.0	2.286	0.7559999999999999	5.0	1.0			FaPr	Faecalibacterium_prausnitzii_1	0	0.0
cx	EsCo	EsCo 7	0	1.238	26	EsCo 7cx	63.0	1.238	0.53	13.0	1.9047619047619049	1.0	cx0001	EsCo	Escherichia_coli	0	0.0
cx	BL	BL 24	1	11.356	5	BL 24cx	73.0	11.356	2.82	236.0	1.0136986301369864	1.0	cx0001	BL	Bifidobacterium_longum	5	0.02090013742556115
cx	ClIn	ClIn 1	1	3.2310000000000003	7	ClIn 1cx	13.0	3.2310000000000003	1.481	7.0	0.15384615384615385	1.0	cx0001	ClIn	Clostridium_innocuum	7	6.5
